clock, x_dist, x_vel, x_accel, y_dist, y_vel, y_accel, z_dist, z_vel, z_accel, temperature, gyro_x, gyro_y, gyro_z,undef,undef,undef,undef,undef,undef,undef,undef,undef,lat,lon
1.26,0.007583,0,0,0,0,0,0.010063,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.27,0.007643,0,0,0,0,0,0.010143,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.28,0.007703,0,0,0,0,0,0.010223,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.29,0.007763,0,0,0,0,0,0.010302,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.3,0.007824,0,0,0,0,0,0.010382,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.31,0.007884,0,0,0,0,0,0.010462,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.32,0.007944,0,0,0,0,0,0.010542,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.33,0.008004,0,0,0,0,0,0.010622,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.34,0.008064,0,0,0,0,0,0.010702,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.35,0.008125,0,0,0,0,0,0.010782,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.36,0.008185,0,0,0,0,0,0.010861,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.37,0.008245,0,0,0,0,0,0.010941,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.38,0.008305,0,0,0,0,0,0.011021,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.39,0.008365,0,0,0,0,0,0.011101,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.4,0.008425,0,0,0,0,0,0.011181,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.41,0.008486,0,0,0,0,0,0.011261,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.42,0.008546,0,0,0,0,0,0.011341,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.43,0.008606,0,0,0,0,0,0.01142,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.44,0.008666,0,0,0,0,0,0.0115,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
